id,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
5hlPrSCx9BvnQ3rCTkblMZ,High,Stephen Sanchez,78,0.414,0.678,6,-7.826,0,0.0355,0.0962,0.000193,0.274,0.395,176.059,audio_features,spotify:track:5hlPrSCx9BvnQ3rCTkblMZ,https://api.spotify.com/v1/tracks/5hlPrSCx9BvnQ3rCTkblMZ,https://api.spotify.com/v1/audio-analysis/5hlPrSCx9BvnQ3rCTkblMZ,161568,4
7to68V64Cu6zk0UDo5tyw3,Confidence,Ocean Alley,83,0.59,0.562,11,-9.607,0,0.0505,0.0637,0.0,0.105,0.561,140.835,audio_features,spotify:track:7to68V64Cu6zk0UDo5tyw3,https://api.spotify.com/v1/tracks/7to68V64Cu6zk0UDo5tyw3,https://api.spotify.com/v1/audio-analysis/7to68V64Cu6zk0UDo5tyw3,253077,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,85,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
6CaimL6w9jlWB76SVMm0IX,Mount Rageous,Andrew Rannells,76,0.446,0.733,5,-6.752,0,0.0491,0.165,0.0,0.114,0.305,133.064,audio_features,spotify:track:6CaimL6w9jlWB76SVMm0IX,https://api.spotify.com/v1/tracks/6CaimL6w9jlWB76SVMm0IX,https://api.spotify.com/v1/audio-analysis/6CaimL6w9jlWB76SVMm0IX,177853,4
6BJHsLiE47Sk0wQkuppqhr,From the Start,Good Kid,76,0.573,0.803,1,-4.142,1,0.0451,0.0225,0.0,0.0841,0.638,92.909,audio_features,spotify:track:6BJHsLiE47Sk0wQkuppqhr,https://api.spotify.com/v1/tracks/6BJHsLiE47Sk0wQkuppqhr,https://api.spotify.com/v1/audio-analysis/6BJHsLiE47Sk0wQkuppqhr,150047,4
4ck5SWSXlSUVHhYjq9Cb8L,Nothing You Can Take From Me (Boot-Stompin' Version) - from The Hunger Games: The Ballad of Songbirds & Snakes,Rachel Zegler,79,0.504,0.676,10,-8.035,0,0.0769,0.671,0.000697,0.0876,0.665,104.128,audio_features,spotify:track:4ck5SWSXlSUVHhYjq9Cb8L,https://api.spotify.com/v1/tracks/4ck5SWSXlSUVHhYjq9Cb8L,https://api.spotify.com/v1/audio-analysis/4ck5SWSXlSUVHhYjq9Cb8L,193591,4
4HDC7Mo6uLTujRvHymiXDf,Mwaki,Zerb,68,0.847,0.637,7,-8.751,0,0.0587,0.201,0.201,0.121,0.0509,120.033,audio_features,spotify:track:4HDC7Mo6uLTujRvHymiXDf,https://api.spotify.com/v1/tracks/4HDC7Mo6uLTujRvHymiXDf,https://api.spotify.com/v1/audio-analysis/4HDC7Mo6uLTujRvHymiXDf,208135,4
4fFHFp2cadSc397kr5wPbx,Vultures,¥$,66,0.703,0.671,1,-4.334,0,0.167,0.0495,0.0,0.158,0.507,146.028,audio_features,spotify:track:4fFHFp2cadSc397kr5wPbx,https://api.spotify.com/v1/tracks/4fFHFp2cadSc397kr5wPbx,https://api.spotify.com/v1/audio-analysis/4fFHFp2cadSc397kr5wPbx,276987,4
1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),JID,92,0.575,0.56,5,-7.302,1,0.478,0.173,0.0,0.257,0.471,75.956,audio_features,spotify:track:1udwFobQ1JoOdWPQrp2b6u,https://api.spotify.com/v1/tracks/1udwFobQ1JoOdWPQrp2b6u,https://api.spotify.com/v1/audio-analysis/1udwFobQ1JoOdWPQrp2b6u,229938,4
6ED7qim1NAX1HjNU8039WS,Alucin,Eugenio Esquivel,84,0.787,0.769,7,-4.681,0,0.0335,0.00331,0.00332,0.115,0.509,128.0,audio_features,spotify:track:6ED7qim1NAX1HjNU8039WS,https://api.spotify.com/v1/tracks/6ED7qim1NAX1HjNU8039WS,https://api.spotify.com/v1/audio-analysis/6ED7qim1NAX1HjNU8039WS,197114,4
29vIEdxgMT9H1fnBMecWjA,Lo Tienes Todo,Julión Álvarez y su Norteño Banda,80,0.702,0.836,8,-3.599,1,0.0658,0.204,0.0,0.0698,0.63,117.897,audio_features,spotify:track:29vIEdxgMT9H1fnBMecWjA,https://api.spotify.com/v1/tracks/29vIEdxgMT9H1fnBMecWjA,https://api.spotify.com/v1/audio-analysis/29vIEdxgMT9H1fnBMecWjA,164387,4
2jm0UrP5A9ccJ3twMI8cVq,Solo,Myles Smith,80,0.427,0.458,0,-7.157,1,0.0355,0.697,0.0,0.117,0.35,122.828,audio_features,spotify:track:2jm0UrP5A9ccJ3twMI8cVq,https://api.spotify.com/v1/tracks/2jm0UrP5A9ccJ3twMI8cVq,https://api.spotify.com/v1/audio-analysis/2jm0UrP5A9ccJ3twMI8cVq,199756,4
4E63weMCaNZuGPEFMnuEi8,exes,Tate McRae,79,0.821,0.575,5,-6.57,0,0.0589,0.173,0.000242,0.114,0.611,136.962,audio_features,spotify:track:4E63weMCaNZuGPEFMnuEi8,https://api.spotify.com/v1/tracks/4E63weMCaNZuGPEFMnuEi8,https://api.spotify.com/v1/audio-analysis/4E63weMCaNZuGPEFMnuEi8,159401,4
4JdYapRlYv67LnjrkDhZVX,"Think Of Me Once In A While, Take Care",Take Care,77,0.209,0.142,3,-11.37,1,0.0416,0.902,0.95,0.0945,0.0386,71.02,audio_features,spotify:track:4JdYapRlYv67LnjrkDhZVX,https://api.spotify.com/v1/tracks/4JdYapRlYv67LnjrkDhZVX,https://api.spotify.com/v1/audio-analysis/4JdYapRlYv67LnjrkDhZVX,103500,3
7ELtAKka2YiZRclp70wZ6F,Better Place (Family Harmony),Justin Timberlake,76,0.456,0.459,4,-8.16,0,0.0811,0.475,0.0,0.0861,0.211,116.049,audio_features,spotify:track:7ELtAKka2YiZRclp70wZ6F,https://api.spotify.com/v1/tracks/7ELtAKka2YiZRclp70wZ6F,https://api.spotify.com/v1/audio-analysis/7ELtAKka2YiZRclp70wZ6F,116293,4
5XVdHRf4CAJ2Jm0uMIy5qY,La Víctima,Xavi,90,0.778,0.835,11,-3.598,0,0.0767,0.152,0.0,0.109,0.666,140.082,audio_features,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,https://api.spotify.com/v1/tracks/5XVdHRf4CAJ2Jm0uMIy5qY,https://api.spotify.com/v1/audio-analysis/5XVdHRf4CAJ2Jm0uMIy5qY,156346,4
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,98,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,audio_features,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,137773,4
6nMIweEtUivRvsq5yHVe1G,Im Da Man,Lil Tony Official,67,0.714,0.674,7,-5.82,1,0.276,0.000754,6.2e-06,0.0968,0.604,160.123,audio_features,spotify:track:6nMIweEtUivRvsq5yHVe1G,https://api.spotify.com/v1/tracks/6nMIweEtUivRvsq5yHVe1G,https://api.spotify.com/v1/audio-analysis/6nMIweEtUivRvsq5yHVe1G,84750,4
69phA1R4gmQsBFRQ3INW8C,ONE CALL,Rich Amiri,64,0.65,0.539,1,-7.281,1,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,audio_features,spotify:track:69phA1R4gmQsBFRQ3INW8C,https://api.spotify.com/v1/tracks/69phA1R4gmQsBFRQ3INW8C,https://api.spotify.com/v1/audio-analysis/69phA1R4gmQsBFRQ3INW8C,121399,4
